+-----+-----------------+----------------+-------------------+------------------+--------------------+---------------+-----------------+------------+---------------------------------------------------------------------+---------------------+---------------------+---------------------+---------------------+---------------------+-------------------+------------------+-------------------+
|     |   mean_fit_time |   std_fit_time |   mean_score_time |   std_score_time |   param_batch_size |   param_epoch | param_loss_fn   |   param_lr | params                                                              |   split0_test_score |   split1_test_score |   split2_test_score |   split3_test_score |   split4_test_score |   mean_test_score |   std_test_score |   rank_test_score |
|  18 |        58.7735  |    0.100254    |        0.0128443  |      0.000205871 |                 32 |           100 | MSE             |     0.0001 | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'MSE', 'lr': 0.0001}    |            0.235916 |            0.229119 |            0.232729 |            0.24805  |            0.233124 |          0.235788 |       0.00650106 |               151 |
|  19 |        58.8338  |    0.165086    |        0.0126627  |      0.000354429 |                 32 |           100 | MSE             |     1e-05  | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'MSE', 'lr': 1e-05}     |            0.330761 |            0.354823 |            0.328631 |            0.365706 |            0.339264 |          0.343837 |       0.0142973  |                71 |
|  20 |        60.5655  |    0.44167     |        0.0123377  |      0.000871985 |                 32 |           100 | Mean            |     0.01   | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'Mean', 'lr': 0.01}     |            0.301539 |            0.295098 |            0.304235 |            0.313494 |            0.310528 |          0.304979 |       0.00653166 |               111 |
|  21 |        64.7168  |    1.84521     |        0.0133449  |      0.000908071 |                 32 |           100 | Mean            |     0.001  | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'Mean', 'lr': 0.001}    |            0.289404 |            0.296607 |            0.29624  |            0.295469 |            0.293985 |          0.294341 |       0.00262738 |               128 |
|  22 |        60.4032  |    0.287967    |        0.0129141  |      5.62293e-05 |                 32 |           100 | Mean            |     0.0001 | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'Mean', 'lr': 0.0001}   |            0.330462 |            0.326233 |            0.323297 |            0.331211 |            0.318639 |          0.325969 |       0.00466032 |                83 |
|  23 |        60.2638  |    0.212126    |        0.0128089  |      0.000194159 |                 32 |           100 | Mean            |     1e-05  | {'batch_size': 32, 'epoch': 100, 'loss_fn': 'Mean', 'lr': 1e-05}    |            0.401599 |            0.412946 |            0.404029 |            0.402449 |            0.402405 |          0.404686 |       0.00420493 |                52 |
|  24 |        88.5244  |    0.433319    |        0.0128409  |      0.00020568  |                 32 |           150 | MSE             |     0.01   | {'batch_size': 32, 'epoch': 150, 'loss_fn': 'MSE', 'lr': 0.01}      |            0.215966 |            0.217988 |            0.212616 |            0.230263 |            0.207565 |          0.21688  |       0.00756472 |               170 |
|  25 |        88.5939  |    0.17638     |        0.012888   |      0.000139334 |                 32 |           150 | MSE             |     0.001  | {'batch_size': 32, 'epoch': 150, 'loss_fn': 'MSE', 'lr': 0.001}     |            0.212558 |            0.220212 |            0.198111 |            0.226994 |            0.209214 |          0.213418 |       0.00983046 |               181 |
|  26 |        92.5239  |    3.79447     |        0.0138308  |      0.00103005  |                 32 |           150 | MSE             |     0.0001 | {'batch_size': 32, 'epoch': 150, 'loss_fn': 'MSE', 'lr': 0.0001}    |            0.217034 |            0.229451 |            0.225939 |            0.230845 |            0.235088 |          0.227671 |       0.00607289 |               157 |
|  27 |        88.2723  |    0.249414    |        0.0127694  |      6.64009e-05 |                 32 |           150 | MSE             |     1e-05  | {'batch_size': 32, 'epoch': 150, 'loss_fn': 'MSE', 'lr': 1e-05}     |            0.325446 |            0.321695 |            0.303295 |            0.331077 |            0.285833 |          0.313469 |       0.0166638  |                93 |
|  28 |        90.3859  |    0.164409    |        0.012832   |      9.40709e-05 |                 32 |           150 | Mean            |     0.01   | {'batch_size': 32, 'epoch': 150, 'loss_fn': 'Mean', 'lr': 0.01}     |            0.311728 |            0.310404 |            0.293303 |            0.302041 |            0.297536 |          0.303002 |       0.00715277 |               116 |
